"COU","Country","DESIG","Designation","DOMAIN","Domain","MEASURE","Measure","CALCULATION","Calculation method","SCOPE","Scope","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,20.3393940061,,
"AUS","Australia","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,20.3393940061,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,0.6499565623,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,5.9679097354,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,6.7875414267,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,8.716925684,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1985","1985","PC","Percentage","0","Units",,,14.6114739857,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,16.2034385491,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1995","1995","PC","Percentage","0","Units",,,17.62562073,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,21.810571149,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2001","2001","PC","Percentage","0","Units",,,22.4056138896,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2002","2002","PC","Percentage","0","Units",,,23.6489209696,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2003","2003","PC","Percentage","0","Units",,,23.974328265,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2004","2004","PC","Percentage","0","Units",,,24.7369248975,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2005","2005","PC","Percentage","0","Units",,,25.0194307696,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2006","2006","PC","Percentage","0","Units",,,26.0922881117,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2007","2007","PC","Percentage","0","Units",,,26.1485723956,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2008","2008","PC","Percentage","0","Units",,,26.2498197544,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2009","2009","PC","Percentage","0","Units",,,26.5237453419,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,26.7168017466,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2011","2011","PC","Percentage","0","Units",,,26.7819046564,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2012","2012","PC","Percentage","0","Units",,,27.4052623362,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2013","2013","PC","Percentage","0","Units",,,27.5346101274,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2014","2014","PC","Percentage","0","Units",,,27.690771308,,
"AUT","Austria","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,27.925013079,,
